City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
631,Tual,ID,80.29,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
633,Manadhoo,MV,80.83,moderate rain,5.7667,73.3833,Vevu Guesthouse
635,Santa Rosa,PH,80.91,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
636,Boguchany,RU,82.17,clear sky,58.3814,97.4531,Uyut
638,Ambulu,ID,82.74,clear sky,-8.345,113.6058,Hotel Ambulu Jember
641,Zhuanghe,CN,83.43,few clouds,39.7008,122.9911,Hanting Express Dalian Zhuanghe Qiansheng
643,Challakere,IN,75.15,overcast clouds,14.3167,76.65,SR Residency
644,Nyaunglebin,MM,82.99,overcast clouds,17.95,96.7333,Royal Motel
645,San Patricio,US,84.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
648,Morro Bay,US,76.19,scattered clouds,35.3658,-120.8499,Inn at Morro Bay
649,Jati,PK,85.19,overcast clouds,24.3539,68.2671,Cafe Lala Rehan Restaurant
653,Monrovia,LR,76.51,overcast clouds,6.3005,-10.7969,Sunset Inn
654,Dzilam Gonzalez,MX,76.84,overcast clouds,21.2833,-88.9333,posadas
655,Peleduy,RU,81.63,broken clouds,59.6289,112.7406,Гостиница «Уют»
656,Tecoanapa,MX,81.79,overcast clouds,16.5167,-98.75,Hotel Manglares
662,Rantepao,ID,80.29,broken clouds,-2.9701,119.8978,Hotel Luta Resort
663,Zhanaozen,KZ,80.31,clear sky,43.3,52.8,K.korabay 28A
664,Gorontalo,ID,86.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
667,Anderson,US,79.18,broken clouds,34.5334,-82.6499,The Bleckley Inn
679,Sibolga,ID,85.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
683,Batesville,US,82.81,clear sky,35.7698,-91.641,"Holiday Inn Express & Suites Batesville, an IHG Hotel"
685,Yining,CN,89.53,clear sky,29.0361,114.5636,Xiushui Hotel
690,Korsakov,RU,84.04,broken clouds,46.6328,142.7813,Hotel Asino
692,Ranong,TH,80.74,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
693,Martapura,ID,84.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
700,Okha,RU,79.39,overcast clouds,53.5739,142.9478,Империя
